dataset,method,rep,RME_All,RME_Nonzeros,RMSE,aucpr,precision,recall,f1,n_selected
Dataset III,HiLASSO,7,88.20300943971019,80.93619935315401,29.94729605938848,0.866946714721762,0.0802675585284281,0.96,0.14814814814814817,598
Dataset III,HiLASSO,8,75.51370568008178,66.9094271081346,28.17464531783347,0.6933842737535628,0.06842923794712286,0.88,0.12698412698412698,643
Dataset III,HiLASSO,9,74.25574832407251,66.21020401876487,24.82327095638429,0.7805717819613958,0.0717628705148206,0.92,0.13314037626628078,641
Dataset IV,HiLASSO,0,26.075454402813634,22.449930261655574,13.23232301952202,0.7921444020022339,0.0715372907153729,0.94,0.13295615275813294,657
Dataset IV,HiLASSO,1,21.133149925194815,17.390824193195723,17.1382968530103,0.7415245129950953,0.06706408345752608,0.9,0.12482662968099861,671
Dataset IV,HiLASSO,2,29.044813437968557,25.552371983326797,19.14730754239465,0.8065172640368782,0.06811594202898551,0.94,0.12702702702702703,690
Dataset IV,HiLASSO,3,34.455928395921596,30.768000154897386,18.08669436368988,0.8501675203112914,0.06559766763848396,0.9,0.12228260869565216,686
Dataset IV,HiLASSO,4,22.786875277200142,19.50744141860973,12.807844258788313,0.7180840485549668,0.08235294117647059,0.98,0.15193798449612403,595
Dataset IV,HiLASSO,5,34.05102189141238,31.248580847245428,17.8224608464691,0.8568289918452213,0.0784313725490196,0.96,0.14501510574018128,612
Dataset IV,HiLASSO,6,26.46255520245958,22.908979330337814,17.015698467272777,0.760727557064009,0.0715372907153729,0.94,0.13295615275813294,657
Dataset IV,HiLASSO,7,20.88819104688989,17.78559520556434,13.575339255877461,0.7763160394852752,0.06656346749226007,0.86,0.12356321839080461,646
Dataset IV,HiLASSO,8,24.466405702310535,20.612425861469102,12.719634658358075,0.7812246333528426,0.0647887323943662,0.92,0.12105263157894736,710
Dataset IV,HiLASSO,9,25.166779919964473,22.07443926146378,15.661057837409283,0.8393650668251665,0.06923076923076923,0.9,0.1285714285714286,650
